Medumba,French
i,son
ù,ton
ὰm,mon
άm,mon
a,il
a bwɔ̌,c'est bien
a bwɔ̌ ncʉα̂tə,c'est excellent
a bwɔ̌ tα,c'est très bien
a vʉ̀ lαg,c'est correct
bà,pion
bà,jeton
bǎ,rougir
be,payer
bě,verser un liquide dans un vase
bə,être
bi,couteau
bì,foie
bô,avec
bu,main
bʉ,saluer
bα,folie
bὰ,affolement
bà',maison
bə',igname
bə̀,notre
bià,avocat
bu',paquet
bα̌,tailler
be'e,croiser
bè'e,balayer
bə'ə,casser
bu'u,paquet
bə' nə̀sitə,igname cuit dans la sauce
bʉ̀'ngɔ̀,devise d'un pays
bə̂'nswə,octobre
bu' vʉ,jouer au tam-tam
bà'a,remettre
bà bə̀lòŋ,patate rouge
bə̀bǎ'mbàŋ,éclair
bǒ'bà'nì,variété de courge
bà'fʉ̀n,clé
biαgə,abolir
bu'kì,cahier
bu'kǐ cɔ̀fà',cahier de texte
bǎ’kwiαg,tousser
bɔ̀li,soutien-gorge
bù'libagbagə,margouillat
bə̀làm,cube maggi
bǒ'lɛn,courge
bə̀lòŋ,patate
bə̌mα,frère de différents dégrés
bʉ mɛn,annoncer une naissance
bʉ̂mɛn,cadeau
bù’mbαb,sorte de souris des champs
bu'mfə,rame de papier
bu'mfu,pharmacie
bu'mfʉm,paquet vide
bə̀nə,baisser
bɛ̀nə,rentrer
bɛ̌n ndα,retourner au foyer conjugal
bα̌nbαn,zéro
bu'ndə̀bà',paquet de cigarettes
bu'ndəb,paquet de coton
bə'ngòn,grosesse précoce
bu'ngwa,paquet de sel
bα̂nku'u,taro pilé
bǎ’nkuὰn,témoigner
bα̂nnjαb,couscous avec la purée de légumes
bɛ̌nnjàm,rentrer
bə̀ntə̌,courber
bɛ̀ntə̌,reculer
bʉ̀ntə̌,répondre
bò'ntʉ̀n,variété de courge
bù'nyὰm,hérisson
bu'nzwə,rouleau de tissu
bu'ŋwà'nì,livre
bǎ'tu,se purifier
be'tə,ajourner
bə'tə,casser
bə̌tα,frère de différents dégrés
bà’tə̌,rembourser
bè'tə̌,balayer
bə'tə̀wud,courbatures
bə̌tad,frère de différents dégrés
bǔ'wud,corpulence
bǎ’zwiὰg,s’immiscer dans les affaires d’autrui
biagə,éteindre
béb,attendre
bὰb,aile
bàbə,avoir une couleur de peau bien noire
bebə,attendre
bibi,dermatose
bubu,papaye
bαbə,chauffer
bὰbə,vociférer
bîbà',truelle
bəbelə,chenille
bəbunə,fétiche
bὰbkə̀soŋə,poëlle
bàblǒŋvə̀,carreau
bὰbncʉα,plantoir
bαbtə,chauffer légèrement
bὰbtə,s'étaler
bîcwɛd,plantoir
bàd,porter au dos
béd,éclater
bǎd cʉὰ,porter la hotte sur le dos
běd lα,interrompre
bǎd mɛn,porter l'enfant au dos
bàdnα,moité d'un sillon
bedni,douceur
bàdngùb,danse
bɛdsòg,avoir ses menstrues
bedtə,décoller
bɛdtə,demander
bàdtə̌,porter au dos
bɛdtə̀,question
befe,gendarme
bîfà',couteau de travail
bûfag,frère jumeau
bàg,partie
bαg,nous
bàgə,fendre
bαgə,être mauvais
bǎgbàg,zigzag
bǎgbwə,division de kola
bǎgcɛd,ardoise
bǎgfà',région synodale
bǎgka,assiette
bǎgncwɛn,morceau de bois
bǎgndα,côté de la chambre
bǎgngɔ̀,département
bǎgnka,plat
bǎgnsa,bronchite
bαgtə,gâter
bàgtə̌,expliquer
bαgwʉ̀,toi et moi
bαgyi,lui et moi
bǎgɲwà'nì,page
bûkì,écriture
bìkoŋə,constipation
bàlə,porter au dos
belə,décoller
bèlə,suivre
bələ,claquer
bɛlə,éclater
bilə,pousser
bʉlə,dénoncer
bàm,ventre
bum,œuf
bùm,omelette
būm,oeuf
bὰm,sac
bàmə,enfouir
bəmə,aviser
bumə,robinet
bumα,orange
bὰmə,quitter secrètement un endroit
bǎm nǔm vʉ,ressusciter
bùmαnyὰmdiaŋə,pamplemousse
bǎmkù,plante du pied
bùmmα̂ntsin,écureuil
bǎmmba,dysenterie bacillaire
bàmnə̀lò'o,diarrhée
bàmnə̀tαtə,colique
bαmna',panier
bâmntʉ,foie
bǎmnto,lignée matriarcale féminine
bemtə,protéger
bèmtə,éviter
bəmtə,aviser
bαmtə,faire attention à plusieurs choses
bàmtə̌,enfouir
bὰmtə̌,quitter discrètement un lieu
bámtogə,lignée matriarcale féminine
bin,vous
bìn,avantage
bun,sein
bʉn,mamelle
bαn,couscous
benə,ourler
bɛnə,chaume
bαnə,entasser en grande quantité à un même endroit
bὰnə,haïr
bôn ncʉὰmbwə̀ bô ntʉ̂'njàm,cousins
bônfag,jumeaux
bîngαnə,baïonnette
bàngwa,sorte de taro
bônkû'u,tubercule de taro
bànkun,haricot
bônngab,poussins
bαnsogcɛ̀n,couscous avec la sauce jaune
bentə,épingler
bûntsə,affluent
binyi,lui et toi
bônyì,jumeaux
bàŋə,être large
bàŋtə̀,parapluie
bùsi,chat
bâtɔ,meningite
bαtə,offrir un animal en holocauste aux reliques
bàtə̌,changer
bètə̌,aiguiser
bὰtə̌,tailler à répitétion
bətswənzə,prévenir
bάhα,deux
ba,détourner
ba' nzwə,tisser
ba' tu,se tresser
ba'a,tresser
ba'tu,tresser
babə,verser avec violence
badmbaŋə,mansarde
badtə̀,amadouement
bagə,avarier
bagni,être désagréablement plaisantain
bagtə,se courber
balə,coller
bamə,accepter
baŋə,repas de sacrifice
batə,embrocher
bíd,germer
bo,ils
bod,fatigue
bom fì,construire un mausolée
bon,enfants
bwə,accouchement
bwɔ̌,bon
bwə̀'ə,neuf
bwə̂'ə,hibou
bwɔ̌ ntʉ,avoir du coeur
bwə̂mbwogə,cendre
bwə̂ndòŋ,ciment
bwə̂ngə̀fələ,farine maïs
bwɔ̌ntʉ,bonté
bwə̀tə̌,mélanger
bwəngòn,primipare
bwòŋngù,albinos
bwòŋsaŋə,pigeon
bwòŋtα̂mbia’,colombe
bwog,peur
bwogtə̀kì,carbone
ce,terre
có,tiens
cô,tes
cɔ,faire l'amour
cu,creuser
cà',marasme
cò',crête
cɔ̀,conte
cʉὰ,hotte
cə̀',chapeau
cʉ̀'ma'a,friperie
cə̌’nkù,pantalon
cà'a,contrôler
cα̌bncù,injurier
cə̌dkù,souris
cɛ̂dkì,tableau
cɛ̂dncò,bouclier
cɛ̂dndα,rideau
cʉαg,sévérité
cα̂g,nos
cʉαgə,être sévère
cʉὰgə,devenir dur
cʉαgkɛd mɛ̀n,personne sévère
cʉαgntʉ,méchanceté
cʉ̀ju,envier
cô'kʉ̂dfi,corrector
cô'kʉ̂dnjum,gomme
cα̂m,mes
cə̌mntsə,robinet
cə̂n,ces
cô'ncù,dessert
cô'ncùtùn,inflamation des fesses
cô'ndù',décapsuleur
cô'ngu'u,trophée
cǔ'ntʉ,poumon
cuαntə,être court
cʉαntʉ,être méchant
cə̌ntsə,gouttière
cù'tə̀,trouble
cô'tʉnə,arrache-clou
cua'a,planter
cua'tə,rendre rugueux
côb,leurs
càbə,déguster
cubə,empiler
cùbə,augmenter
cóbə́,leurs
cûbɔnkə',varicelle
côb tu,réciter
cὰbncù,arrogance
côbtu,récitation
còbtə̌,colorier
cὰbtə̀,affront
cὰbtə̌,blasphémer
cəbtswə',mal gastrique
càcà,grippe
ced,propreté
cûdiaŋə,objets de parade
ced miαg,examiner distinctement
cʉgə,être sévèvre
càgtə̌,diriger
cōm,prune
cǎm kù,avorter
cαm ngwagə,condoléances
cαmnjə̀',chimpanzé
cən,idiot
cəndîn,ceux-là
cənnî,ceux-ci
cənnα,ceux-là
càntsə,bouillon
càŋ,canari
cǎŋntsə,canari
cɔtə,faire l'amour
côtǔntə,calebasse
cûzi',leçons
cάgə́,nôtres
cάm,miens
ca'a,terre
ca'tɔ̀ngɔ̀,physiocratie
cagə,estomac
caŋ,nourriture
cavə̀,tôle
co,histoire
co' kə̀càd,sauter
co' tǔn mɛ̌n nsi,soulever le premier pieds d'un cadavre
co'kʉlə,gomme
co'ngu'u,auréole
co'o,ouvrir
co'tə,arracher
co vʉ,faire la ronde
cobə,parler
cobtə,gronder
conjà,être circoncis
coŋə,enterrer
cwè,foyer
cwɛ̂dtùn,fesse
cwɛd,champ
dá,bidon
dɔ,sifflet
du',cuillère
dʉ',lieu
dʉ̌' nkʉ̀n,lieu de communication
dʉ̌'bà',lot
dʉ̌'beb,lieu d'attente
dʉ̌'bed,salle d'attente
dʉ̌'ba,garage pour vélo
dʉ̌'ba',atelier de tissage
dʉ̌'bwə,maternité
dʉ̌'càm,secrétariat
dʉ̌'ca,lieu où se trouve la prison
dʉ̌'coŋ,cimetière
dʉ̌'diaŋ,lieu de spectacle
dʉ̌'fà,lieu de l'accident
dʉ̌'fu,pharmacie
dʉ̌'fà',atelier
dʉ̌'fe',péage
dʉ̌'foŋə,maison de la radio
dʉ̌'ghòn,hôpital
dʉ̌'jʉα,lieu de fête
dʉ̌'kà',lieu de rendez-vous
dʉ̌'mfi,cimetière
dʉ̌'ncò,front de combat
dʉ̌'ncùb,perception
dʉ̌'nkαb,finances
dʉ̌'ntsə,domicile
dʉ̌'ntswə,demeure
dʉ̌'ŋwà'nì,école
dû' sogə,louche
dʉ̌'tûmfi,cimetière
dʉ̌'zi,dortoir
du'bαn,louche
dʉ̀mə,être sucré
dʉ̀mtə̀,sucre
dʉ̌ncù,moustache
dû'ndʉb,louche
du'nya',cuillère
diàŋkâdntsə,lac
diàŋmbûmə,cercle
diǎŋtôgndα,diarrhée chronique
dû'sòb,fourchette
dʉ'tə,frotter
diaŋ,chaise
diaŋjʉ,scène gastronomique
diaŋmà,scène de tir
diaŋnu,compétition de buveurs
diaŋnù,cercle d'études
diaŋncobe,conférence
diaŋndə,compétion de course
diaŋnkʉ̀n,émission radio
diaŋntò,compétition de boxe
diaŋntαnə,foire
diaŋnyα,théatre tragique
diaŋsa,théatre
diaŋtsi'i,festival
diaŋzwə,théatre tragique
diaŋzwì,comédie
diaŋzwə̀',compétition de lutte
dàb,frapper
dibὰ,liberté
dìbὰ ndα̂ŋwà'nì,université
dìbὰntαnə,foire
dʉbtɔ̀ngɔ̀,gérontocratie
dùm,saison sèche
dùmtə̌,rechauffer
dîn,là
djidjim,jujube
dú,dire
dún,miracle
fà,accident
fè,brindille
fə,cadavre
fi,humide
fì,tombeau
fu,feuille
fα,donner
fà',travail
fə̀,feuille
fə̌,sauter
fù',bonheur
fə̀',dépendance d'une maison
fə̌ bu'kì,feuille de cahier
fə̌'bwoŋə,guirlande
fʉα̌g ncù,être ouvert
fə̌ juntə̀,facture
fə̌'mbwogə,cuisine
fə̌'ncwɛn,magasin de bois
fə̌'ndù',magasin de boisson
fə̌ ndɛ̂n fu,prescription médicale
fə̌'ntsə,salle de bain
fə̌ ŋwà'nì,feuille de papier
fə̌ soŋtə̀,papier publicitaire
fə̌'vʉ,magasin du deuil
fα bu,être possible
fǎ'bà',maçonnerie
fə̌bʉ̀',carte de visite
fə̌bʉ̂nkαb,chèque
fə̌bwogtə̀,stencil
fə̌bwogtə̀kì,papier carbone
fə̌cɔ̀mɛ̀n,fiche de renseignements
fə̌co'ngu'u,diplôme
fɛ̂d caŋ,courvercle
fɛ̂d nə̀nὰ,tas d'ordures
fə̀dmbàŋ,vent
fə̀dtə̌,souffler
fɛ̀dtə̌,verser
fǎ'fe',service d'impôts
fə̌fà',attestation de travail
fə̌fe',timbre
fə̌fê' tʉsɔ,timbre communal
fə̌fê'ncùb,timbre fiscal
fə̌fê'nkʉ̀n,timbre communal
fə̌ghun,invitation
fə̌jun,facture
fə̌kə̂bntʉ,permis d'exploitation forestière
fə̌kə̀fà',certificat de non profession
fə̌kα̌nfà',contrat de travail
fə̌kə̀njo,certificat de non redevance
fə̌kud,permis de bâtir
fə̌kwì,certificat de célibat
fə̌kwênkαb,chèque
fə̌kwênta,attestation
fə̌kwêntsə,certificat de baptême
fǎ'le'e,travail journalier
fə̌lò'fà',certificat de prise de service
fə̌lὰb,lettre de féllicitation
fα lὰbtə̌,remercier
fə̌lon,billet de demande d'aide
fə̌mà'ngua'a,attestation d'assurance
fə̀mnì,idiotie
fɛ̀n,forêt
fǎ'nὰ,agriculture
fɛ̀nə,devenir réfractaire
fǎ'ncùb,service d'impôts
fʉ̀ndɑ,cadenas
fα ndà,punir
fə̌ndà',tableau d'honneur
fα ndə̀'tə̀,remercier
fə̌ndɛn,liste
fə̌njo,bon
fə̌nkà'nì,bon d'engagement
fə̌nkʉnə,remarque écrite
fə̀nkàŋ,arbre de paix
fə̌nkwàtə̀,impression écrite
fʉ̀nndα,serrure
fɛ̌nntʉ,courage
fə̂nsi,sorte de fourmi noire
fə̌nswɛ̀d,brouillon
fə̌ntɔ̀ngɔ̀,monarchie
fə̌ntɔ̀ngɔ̀ bô nsi,monarchie de droit divin
fə̌ntɔ̀ngɔ̀ bô tǔnncʉ̀',monarchie constitutionnelle
fə̌ntâ'yòŋ,permis de chasse
fɛ̊ntùn,malpropre
fiàŋmα̂mbὰ,musaraigne
fə̌sòŋ,permis de conduire
fα tu,surgir
fə̌tɔ̀,bulletin de vote
fʉ̀tə̀,tromperie
fə̌tsiaŋ,billet de convocation
fə̌yǒgfà',curriculum vitae
fə̌yǒgmɛ̀n,curriculum vitae
fə̌yòŋ,permis de chasse
fiaŋmα̂mbà,mulot
fèd,photocopie
fɛd,tas
fid,arrogance
fɛd nkəlɔ,sorte de rite après un enterrement
fɛd nsɔ,souffrir
fědmɛ̀n,arriviste
fǒdmbwə,bouc
fɔg,être blanc
fǎgsɔ,édenté
fâgshuà',ciseau
fôgtu,vieillard
fìk,mesurer
fαk,travailler
fèkə̀lɔ̀,emondoir
fɛlə,manger
fαm,moisir
fǐmiαg,fermer les yeux
fǎmbàŋ,foudre
fìmkunə,couvre-lit
fən,aubaine
fɛnə,arctocèbe
fʉnə,tibia
fûnə̀nὰ,rateau
fìncù,renard
fʉnkù,jambe
fɛntə̀,endurcissement
fàntâ'tʉ,croix
fitə̀,paix
fa,accident
fa'tə̀,agitation
famə,suffoquer
faŋə,abandonner
fíd,serrer
fogfôgntsə,chute d'eau
fognkʉα,coépouses
fogtab,blanc
fomə,huit
gà,ficeler
ghu,faire ramollir
ghù,dot
ghə',joue
ghʉ̌,avoir
ghə̀',joue
ghu'u,être gros
ghʉ̌ sa,jouer
ghə̀'tə̀,convoitise
ghà'jʉα,festival
ghə̀lə,guillemet
ghα̌mndα,pente du toit
ghò'o,écraser
ghua'a,épilepsie
ghub,entêtement
ghəbʉ̀,récipient
ghǔblαg,paupière
ghǎbndα,battant de la porte
ghὰbtə̌,partager
ghâgha,voyou
ghǎkɑ̀m,masque
ghǎmɛ̀n,revenant
ghòmtə̀,manie
ghumtə̀,detourner
ghαnə,prostitution
ghun vʉ,appeler au secours
ghǒnmbʉ,convulsion
ghǒnmbwɔ̀,siphilis
ghǒnsaŋə,convulsion
ghàntsi,panier
ghâtswə’,de bonne heure
gha,refuser
gha'cie,éternuement
gham,dix
ghammαtad,épervier
ghamtə̀,adoration
gɔl,or
í,son
ju,chose
jʉα,fête
ju'u,comprendre
ju' ncù,obéir
ju' ntǔn nù,comprendre
ju'nù,entendre
ju'nkî,dictée
jùbə,peler
jûdiaŋ,objet de luxe
jûdiaŋə,objets de parade
jûfà’,outil
jûfin,sucette
jûju,un rien du tout
jûjʉ,nourriture
jʉkə̀ywɛd,gloutonnerie
jûkəb,scie
jûkαm,croquette
jûkαmtə̀,croquette
jûlɛ̀n,pion
jûlàŋtə̀,ce qui peut tenter
jumə,maigrir
junə,acheter
jûnɔ,objet volé
jûnu,boisson
jûncò,arme
jûncʉαg,arme
jûncobə,mot
jûngʉα,objet de luxe
jûnkαb,bien matériel
juntə,acheter
jûntαnə,marchandise
jûsi,ciseau
jûsa,jouet
jûtʉntə̀,nombre
jûtam,cible
jûtsi',héritage
jûvə̀,objet d'art
jûyὰusa,diphtérie
jûzi',leçon
kà,magie
kǎ,choisir
kə,quoi
kǐ,rayer
kɔ,lance
kù,pied
kʉ,brûler
kà',nord
kò',tabouret
kɔ̌,aimer
kuá,disette
kuὰ,quatre
kə'ə,blesser
kù'u,suffisant
kû'u,taro
kə̀'ə,boiter
kuα̌ ncò,déclarer la guerre
kə̂'bu,vaccination
kə' bə̀làm,cube arômatique
kə̂'kunə,oreillée
kʉα̌mɛ̀n,personne grossière
kʉ̀’ngà,sauterelle
kʉ̌'ngab,coq
kə̀'tə̀,tamis
kə̀'tə̀ ngànjèlè,tamis
kə̀bù',mortier
kə̀bǎdnjαb,cadet
kû'bαn,taro
kə̂bnka,règle
kə̀cò',matungulu
kə̀cà'nkαnə,singe sentinelle
kα̌ced,règles d'hygiène
kə́ca'a,brique
kə̀caŋbi,couteau
kə̀cob,muet
kə̌d mɛ̀nnzwi,épouser sans doter
kə̌d nka,enlever le couvert
kʉ̂dfi,bic
kə̀fɛ̂dmbʉ,samara
kiàg,défaire
kə̀kì,signe
kû'kà,macabo
kə̀kʉα,koki
kə̀kə̌’mα̂wə,mante réligieuse
kə̀kʉα nə̀katə,koki avec le dolic frit
kə̀kʉαnə̀tònə,koki cuit sous la cendre
kə̀kǔbncù,lèvre
kə̀kîmbwogə,charbon
kə̀kag,aisselle
kə̀kalə,paralytique
kə̀lɔ̀,plantain
kə̀lɔ̀nə̀nù'u,banane à sauce d'huile
kə̀lɔ̀nə̀sitə,plantain cuit dans la sauce
kə̀lɔ̀nəghuα,babnane rôtie avec sauce et d'huile
kə̀lɔ̀ntʉ̀n,banane plantain
kə̀m,gong
kǎ mɛ̀nnzwi,se fiancer
kʉ’mənkaŋ,cameléon
kuαmbwogə,briquet
kǎ'mvɛ̀n,colonne vertébrale
kə̀nà,arachide
kə̀nu,pirogue
kə̀nὰfì,arachide des fossoyeurs
kα̌ncaŋ,régime alimentaire
kʉ̌ndə,courir
kǐ ndɛn,inscrire
kɔ̂ngà,savane
kʉ̂njum,crayon
kɔ̂nkù,décrottoir
kα̌nncobə,grammaire
kɔ̂ntʉ,coeur
kʉ̂ntʉ,désir
kə̀shʉ',hoquet
kǐ səvə̀,dessiner
kə̀soŋə,corbeille
kà'tə̀,orgeuil
kə̀tu'u,soldat
kə̀zətα,enfant né après la mort de son père
kua'a,pleurer
kɑb,téléphone
kəb,couper
kìb,taupe
kòb,ceinture
kὰb,barrière
kəbə,couper
kàbùn,écureuil
kəb nka,tracer une ligne
kəbtə,abréger
kὰbtə̀,mensonge
kebwo,mal
kùcwa,éponge de douche
ked,arc
kəd,penis
kədɔ,plantain
kǐdnsa,côte
kâdtʉ,prostituée
kudtə̀,veste
kʉdtɔ̀ngɔ̀,bureaucratie
kàg,panier
kɑgə,être petit de corps
kǎg ndù',casier de boisson
kǒglαg,abcès de l'oeil
kὰgnì,étourderie
kὰgnǐ,être sot
kògnkwe,pian
kàgtʉ̀n,effort
kɔkuα,libellule
kəkαbə,champignon
kəko'o,plaie
kəkwɛnə,âne
kulə,attacher
kʉlə,bâton
kʉlə,bic
kʉlə,crayon
kʉlə,stylographe
kìlɛn,droit d'inscription
kàm,chapitre
kém,nourrir
kum,association
kʉmə,balayer
kǎmαnyàm,ciel
kǔmbu',orchestre
kǎmcwɛn,bûche
kǔmfà',syndicat
kǔmfù',comité de développement
kǔmkwì,chorale
kǔmmbàŋ,imperméable
kàmndʉ̀',siege en bois
kǎmngɔ̀,province
kǔmngɔ̀,partie politique
kǔmngɔ̌ngɔ̌,organisation des nations unies
kàmnkò',siège en bois
